gene	average
MELK	6.660417
CCDC85B	6.9125957
ABHD6	6.2863135
KIFBP	7.0427685
CDK19	7.247455
PLP2	8.3005295
SUPV3L1	6.842497
DDB2	6.8072224
PAICS	8.110926
ATF5	6.736253
UBE2A	8.260404
ASAH1	8.930334
HES1	6.8951154
ATP11B	7.5369983
BRCA1	6.328788
MVP	7.101497
SYNGR3	5.2015357
STK25	6.6352577
NOSIP	7.5564613
PYGL	7.0808415
PXN	6.9754076
NGRN	8.4564295
PPIE	7.138735
UBE2C	7.099363
ST3GAL5	6.9563394
SORBS3	6.644932
PPP2R5E	8.039229
NUP85	7.302587
CSNK1A1	8.968422
LSR	6.4355135
ELP1	7.4737954
SMC4	7.959085
CRELD2	7.7729573
STMN1	7.183158
NET1	7.671809
EPB41L2	7.300172
SPR	6.6084785
PSRC1	6.0996118
ITGB1BP1	7.6481934
CNOT4	7.0075326
WASHC4	8.041466
GPC1	6.2703795
ATF1	7.521023
BECN1	7.863609
PTPRF	7.2101474
CRK	7.6387877
INTS3	7.141376
KHDC4	7.972472
HSD17B11	7.8236375
PMAIP1	7.224901
EPN2	6.232413
TOP2A	6.978099
USP22	8.251462
IKZF1	7.2871685
ICMT	7.3689833
CLTC	9.332496
ZNF586	6.563472
JMJD6	7.5200243
DENND2D	6.8627925
CFLAR	8.01153
MAT2A	8.564235
ABCC5	7.092348
SLC27A3	6.3501916
GOLT1B	7.7643147
RB1	7.6665945
ZFP36	8.036788
CCP110	6.890182
POLE2	6.1473804
TBXA2R	6.344327
ERO1A	7.9592276
CCND3	7.9114027
GRB10	7.089809
PLK1	5.623037
SFN	7.8886085
CORO1A	7.1598196
NFKB2	6.25092
SPP1	6.5114665
CSNK1E	6.8140264
SCP2	8.506897
TIAM1	6.7755747
SMAD3	7.147118
STAT5B	7.384505
NPC1	7.237368
CIRBP	8.908641
EGFR	6.9435587
RBM34	7.925065
TERT	5.3727665
DNAJB2	6.7299933
DNM1L	8.108219
IDE	7.3007317
ERBB3	6.794316
VDAC1	8.582387
SMC3	7.8467035
LRP10	8.159358
MACF1	8.269319
TM9SF2	8.586966
PLEKHJ1	7.114496
FEZ2	7.995433
SLC25A14	6.9507504
SMARCD2	7.199526
TFDP1	7.9757504
CALU	7.9083786
FBXL12	7.2406864
AKR7A2	7.7636757
EVL	7.4288344
MINDY1	7.528359
DLD	8.2653265
COPB2	8.270624
PRCP	8.053645
NOLC1	8.365661
AMDHD2	5.8753934
SPAG7	7.6777506
RFX5	7.684998
FOSL1	5.506118
BAX	6.605078
DUSP3	7.3548093
KIF20A	5.9265094
ALAS1	7.3021603
PSMD2	8.228397
TLE1	7.3046255
CBR3	6.256004
YME1L1	8.879673
G3BP1	8.454091
BID	7.3361416
DNAJA3	7.7613344
TRAM2	7.293799
ADGRE5	6.922236
ME2	7.867866
PLS1	6.0868
PTPRC	7.4236994
SOCS2	6.9675035
CGRRF1	6.6485043
MYCBP2	8.2487955
DDX10	6.981373
JUN	8.238693
LGALS8	7.5644794
MYC	7.771901
MAN2B1	7.351957
RPS6KA1	6.7794867
BDH1	6.355159
MPC2	8.113673
RSU1	7.8259125
ATF6	7.465962
RAI14	6.2150817
POLB	7.74781
PGM1	7.8951125
PIK3C2B	7.097682
TBX2	5.9145327
SLC5A6	6.7695994
ACOT9	7.356717
CAB39	8.301084
PTPN1	7.076009
CLIC4	8.301969
GTPBP8	7.3573747
UBR7	7.247833
RAC2	8.024078
OXCT1	7.0976872
C2CD2L	6.269794
CDH3	5.5840344
NOTCH1	6.918513
CDC25B	7.549655
POLG2	6.4515038
SLC35A1	7.6053104
LAMA3	6.117914
XPO7	7.2990937
CSNK2A2	7.44058
CETN3	7.355854
CAMSAP2	7.066777
MSRA	7.0201674
MYO10	6.856201
TP53	6.8120646
CALM3	7.5511184
VAPB	7.685925
INPP4B	6.1128097
CDK1	7.1542096
SCRN1	7.008765
STXBP1	6.3998303
DUSP11	7.3830147
GDPD5	6.456859
MYL9	6.5775604
MNAT1	6.2670984
MAPKAPK3	7.5625324
RBM6	7.5470376
VAV3	6.9836297
TRIB3	6.8045273
DFFA	7.336569
MBNL1	8.803628
RRP12	6.6092296
IL4R	6.9970393
STAT3	8.388666
TSPAN4	6.823636
XPNPEP1	7.9114127
CHIC2	7.226537
DHRS7	8.12965
FAIM	6.563376
NT5DC2	6.4366097
CASP2	8.020441
NUDCD3	7.4939737
MBTPS1	7.309764
CNPY3	7.1479807
SOX4	8.14696
ALDOC	6.652151
PCK2	7.001027
TCFL5	6.88324
NFATC3	7.343814
EED	7.5878596
DCK	7.356951
ACBD3	7.924106
GLRX	8.2646675
CEMIP2	6.722438
FDFT1	8.827919
ENOSF1	7.421061
